aalen, aale, aalt, aalte, aalte, aal, aalt, haben, geaalt
kippeln, kippel, kippelt, kippelte, kippelte, kippel, kippelt, haben, gekippelt
kippen, kippe, kippt, kippte, kippte, kippe, kippt, haben, gekippt
kippen, kippe, kippt, kippte, kippte, kippe, kippt, sein, gekippt
kipplüften, kipplüfte, kipplüftet, kipplüftete, kipplüftete, kipplüfte, kipplüftet, haben, kippgelüftet
kirren, kirre, kirrt, kirrte, kirrte, kirr, kirrt, haben, gekirrt
kiten, kite, kitet, kitete, kitete, kit, kitet, haben, gekitet
kitten, kitte, kittet, kittete, kittete, kitte, kittet, haben, gekittet
kitzeln, kitzele, kitzelt, kitzelte, kitzelte, kitzele, kitzelt, haben, gekitzelt
klabüstern, klabüstre, klabüstert, klabüsterte, klabüsterte, klabüster, klabüstert, haben, klabüstert
klackern, klacker, klackert, klackerte, klackerte, klacker, klackert, haben, geklackert
klaffen, klaffe, klafft, klaffte, klaffte, klaff, klafft, haben, geklafft
klagen, klage, klagt, klagte, klagte, klag, klagt, haben, geklagt
klammern, klammere, klammert, klammerte, klammerte, klammere, klammert, haben, geklammert
klampfen, klampfe, klampft, klampfte, klampfte, klampf, klampft, haben, geklampft
klamüsern, klamüsere, klamüsert, klamüserte, klamüserte, klamüser, klamüsert, haben, klamüsert
klappen, klappe, klappt, klappte, klappte, klappe, klappt, haben, geklappt
klappern, klappere, klappert, klapperte, klapperte, klappere, klappert, haben, geklappert
klapsen, klapse, klapst, klapste, klapste, klaps, klapst, haben, geklapst
klargehen, —, geht klar, ging klar, ginge klar, —, —, sein, klargegangen
klarieren, klariere, klariert, klarierte, klarierte, klarier, klariert, haben, klariert
klarkommen, komme klar, kommt klar, kam klar, käme klar, komm klar, kommt klar, sein, klargekommen
klarlegen, lege klar, legt klar, legte klar, legte klar, leg klar, legt klar, haben, klargelegt
klarmachen, mache klar, macht klar, machte klar, machte klar, mach klar, macht klar, haben, klargemacht
klarstellen, stelle klar, stellt klar, stellte klar, stellte klar, stell klar, stellt klar, haben, klargestellt
klarträumen, träume klar, träumt klar, träumte klar, träumte klar, träum klar, träumt klar, haben, klargeträumt
klassieren, klassiere, klassiert, klassierte, klassierte, klassier, klassiert, haben, klassiert
klassifizieren, klassifiziere, klassifiziert, klassifizierte, klassifizierte, klassifiziere, klassifiziert, haben, klassifiziert
klatschen, klatsche, klatscht, klatschte, klatschte, klatsch, klatscht, haben, geklatscht
klauben, klaube, klaubt, klaubte, klaubte, klaube, klaubt, haben, geklaubt
klauen, klaue, klaut, klaute, klaute, klaue, klaut, haben, geklaut
klavieren, klaviere, klaviert, klavierte, klavierte, klavier, klaviert, haben, klaviert
kleben, klebe, klebt, klebte, klebte, kleb, klebt, haben, geklebt
kleckern, kleckere, kleckert, kleckerte, kleckerte, kleckere, kleckert, haben, gekleckert
klecksen, kleckse, kleckst, kleckste, kleckste, klecks, kleckst, haben, gekleckst
klehen,  klehe,  kleht,  klehte, klehte, kleh, kleht, haben, gekleht
kleiden, kleide, kleidet, kleidete, kleidete, kleide, kleidet, haben, gekleidet
kleinhalten, halte klein, hält klein, hielt klein, hielte klein, halt klein, haltet klein, haben, kleingehalten
kleinkriegen, kriege klein, kriegt klein, kriegte klein, kriegte klein, krieg klein, kriegt klein, haben, kleingekriegt
kleinreden, rede klein, redet klein, redete klein, redete klein, rede klein, redet klein, haben, kleingeredet
kleinschreiben, schreibe klein, schreibt klein, schrieb klein, schriebe klein, schreib klein, schreibt klein, haben, kleingeschrieben
kleistern, kleistere, kleistert, kleisterte, kleisterte, kleister, kleistert, haben, gekleistert
klemmen, klemme, klemmt, klemmte, klemmte, klemm, klemmt, haben, geklemmt
klempnern, klempnere, klempnert, klempnerte, klempnerte, klempner, klempnert, haben, geklempnert
klettern, klettere, klettert, kletterte, kletterte, kletter, klettert, sein, geklettert
klicken, klicke, klickt, klickte, klickte, klick, klickt, haben, geklickt
klieben, kliebe, kliebt, klob, klöbe, kliebe, kliebt, haben, gekloben
klieren, kliere, kliert, klierte, klierte, klier, kliert, haben, gekliert
klimatisieren, klimatisiere, klimatisiert, klimatisierte, klimatisierte, klimatisier, klimatisiert, haben, klimatisiert
klimmen, klimme, klimmt, klomm, klömme, klimm, klimmt, sein, geklommen
klimpern, klimpere, klimpert, klimperte, klimperte, klimpere, klimpert, haben, geklimpert
klingeln, klingele, klingelt, klingelte, klingelte, klingle, klingelt, haben, geklingelt
klingen, klinge, klingt, klang, klänge, klinge, klingt, haben, geklungen
klirren, klirre, klirrt, klirrte, klirrte, klirre, klirrt, haben, geklirrt
klittern, klittere, klittert, klitterte, klitterte, klittere, klittert, haben, geklittert
klonen, klone, klont, klonte, klonte, klone, klont, haben, geklont
klopfen, klopfe, klopft, klopfte, klopfte, klopf, klopft, haben, geklopft
kloppen, kloppe, kloppt, kloppte, kloppte, klopp, kloppt, haben, gekloppt
klotzen, klotze, klotzt, klotzte, klotzte, klotze, klotzt, haben, geklotzt
klumpen, —, klumpt, klumpte, klumpte, —, —, haben, geklumpt
kläffen, kläffe, kläfft, kläffte, kläffte, kläff, kläfft, haben, gekläfft
klären, kläre, klärt, klärte, klärte, klär, klärt, haben, geklärt
klönen, klöne, klönt, klönte, klönte, klöne, klönt, haben, geklönt
klöppeln, klöppele, klöppelt, klöppelte, klöppelte, klöppel, klöppelt, haben, geklöppelt
klötern, klötere, klötert, klöterte, klöterte, klöter, klötert, haben, geklötert
klügeln, klügele, klügelt, klügelte, klügelte, klügel, klügelt, haben, geklügelt
klüngeln, klüngle, klüngelt, klüngelte, klüngelte, klüngle, klüngelt, haben, geklüngelt
klütern, klüter, klütert, klüterte, klüterte, klüter, klütert, haben, geklütert
knabbern, knabbere, knabbert, knabberte, knabberte, knabber, knabbert, haben, geknabbert
knacken, knacke, knackt, knackte, knackte, knack, knackt, haben, geknackt
knacksen, knackse, knackst, knackste, knackste, knacks, knackst, haben, geknackst
knallen, knalle, knallt, knallte, knallte, knall, knallt, haben, geknallt
knapsen, knapse, knapst, knapste, knapste, knaps, knapst, haben, geknapst
knarren, knarre, knarrt, knarrte, knarrte, knarr, knarrt, haben, geknarrt
knarzen, knarze, knarzt, knarzte, knarzte, knarz, knarzt, haben, geknarzt
knatschen, knatsche, knatscht, knatschte, knatschte, knatsche, knatscht, haben, geknatscht
knattern, knattere, knattert, knatterte, knatterte, knattere, knattert, haben, geknattert
knauben, knaube, knaubt, knaubte, knaubte, knaube, knaubt, haben, geknaubt
knaupeln, knauple, knaupelt, knaupelte, knaupelte, knaupel, knaupelt, haben, geknaupelt
knausern, knausere, knausert, knauserte, knauserte, knausere, knausert, haben, geknausert
knautschen, knautsche, knautscht, knautschte, knautschte, knautsche, knautscht, haben, geknautscht
knebeln, knebele, knebelt, knebelte, knebelte, knebele, knebelt, haben, geknebelt
knechten, knechte, knechtet, knechtete, knechtete, knechte, knechtet, haben, geknechtet
kneifen, kneife, kneift, kniff, kniffe, kneife, kneift, haben, gekniffen
kneippen, kneippe, kneippt, kneippte, kneippte, kneipp, kneippt, haben, gekneippt
kneten, knete, knetet, knetete, knetete, knete, knetet, haben, geknetet
knetschen, knetsche, knetscht, knetschte, knetschte, knetsch, knetscht, sein, geknetscht
knicken, knicke, knickt, knickte, knickte, knick, knickt, haben, geknickt
knickern, knickere, knickert, knickerte, knickerte, knicker, knickert, haben, geknickert
knicksen, knickse, knickst, knickste, knickste, knicks, knickst, haben, geknickst
knien, knie, kniet, kniete, kniete, knie, kniet, haben, gekniet
knietschen, knietsche, knietscht, knietschte, knietschte, knietsch, knietscht, haben, geknietscht
kniffen, kniffe, knifft, kniffte, kniffte, kniff, knifft, haben, geknifft
knipsen, knipse, knipst, knipste, knipste, knips, knipst, haben, geknipst
knirschen, knirsche, knirscht, knirschte, knirschte, knirsche, knirscht, haben, geknirscht
knistern, knistere, knistert, knisterte, knisterte, knistere, knistert, haben, geknistert
knittern, knittere, knittert, knitterte, knitterte, knittere, knittert, haben, geknittert
knobeln, knobel, knobelt, knobelte, knobelte, knobel, knobelt, haben, geknobelt
knorren, knorre, knorrt, knorrte, knorrte, knorr, knorrt, haben, geknorrt
knospen, —, knospt, knospte, knospte, —, —, haben, geknospt
knoten, knote, knotet, knotete, knotete, knote, knotet, haben, geknotet
knottern, knottere, knottert, knotterte, knotterte, knottere, knottert, haben, geknottert
knuddeln, knuddele, knuddelt, knuddelte, knuddelte, knuddele, knuddelt, haben, geknuddelt
knuffen, knuffe, knufft, knuffte, knuffte, knuff, knufft, haben, geknufft
knurren, knurre, knurrt, knurrte, knurrte, knurre, knurrt, haben, geknurrt
knuscheln, knuschel, knuschelt, knuschelte, knuschelte, knuschel, knuschelt, haben, geknuschelt
knuspern, knuspere, knuspert, knusperte, knusperte, knusper, knuspert, haben, geknuspert
knutschen, knutsche, knutscht, knutschte, knutschte, knutsche, knutscht, haben, geknutscht
knäueln, knäuele, knäuelt, knäuelte, knäuelte, knäuel, knäuelt, haben, geknäuelt
knäulen, knäule, knäult, knäulte, knäulte, knäul, knäult, haben, geknäult
knöpfen, knöpfe, knöpft, knöpfte, knöpfte, knöpf, knöpft, haben, geknöpft
knüllen, knülle, knüllt, knüllte, knüllte, knüll, knüllt, haben, geknüllt
knüpfen, knüpfe, knüpft, knüpfte, knüpfte, knüpfe, knüpft, haben, geknüpft
knüppeln, knüpple, knüppelt, knüppelte, knüppelte, knüpple, knüppelt, haben, geknüppelt
koalieren, koaliere, koaliert, koalierte, koalierte, koaliere, koaliert, haben, koaliert
koalisieren, koalisiere, koalisiert, koalisierte, koalisierte, koalisiere, koalisiert, haben, koalisiert
kobern, kobere, kobert, koberte, koberte, kobere, kobert, haben, gekobert
kochen, koche, kocht, kochte, kochte, koch, kocht, haben, gekocht
kodieren, kodiere, kodiert, kodierte, kodierte, kodiere, kodiert, haben, kodiert
kodifizieren, kodifiziere, kodifiziert, kodifizierte, kodifizierte, kodifiziere, kodifiziert, haben, kodifiziert
koexistieren, koexistiere, koexistiert, koexistierte, koexistierte, koexistier, koexistiert, haben, koexistiert
kohlen, kohle, kohlt, kohlte, kohlte, kohl, kohlt, haben, gekohlt
kohlen, kohle, kohlt, kohlte, kohlte, kohl, kohlt, haben, gekohlt
koitieren, koitiere, koitiert, koitierte, koitierte, koitiere, koitiert, haben, koitiert
kokeln, kokle, kokelt, kokelte, kokelte, kokle, kokelt, haben, gekokelt
koken, koke, kokt, kokte, kokte, kok, kokt, haben, gekokt
kokettieren, kokettiere, kokettiert, kokettierte, kokettierte, kokettiere, kokettiert, haben, kokettiert
koksen, kokse, kokst, kokste, kokste, koks, kokst, haben, gekokst
kollabieren, kollabiere, kollabiert, kollabierte, kollabierte, kollabier, kollabiert, sein, kollabiert
kollaborieren, kollaboriere, kollaboriert, kollaborierte, kollaborierte, kollaboriere, kollaboriert, haben, kollaboriert
kollaterieren, kollateriere, kollateriert, kollaterierte, kollaterierte, kollateriere, kollateriert, haben, kollateriert
kollationieren, kollationiere, kollationiert, kollationierte, kollationierte, kollationier, kollationiert, haben, kollationiert
kollern, kollere, kollert, kollerte, kollerte, koller, kollert, haben, gekollert
kollern, kollere, kollert, kollerte, kollerte, koller, kollert, haben, gekollert
kollern, kollere, kollert, kollerte, kollerte, koller, kollert, sein, gekollert
kollidieren, kollidiere, kollidiert, kollidierte, kollidierte, kollidier, kollidiert, sein, kollidiert
kolonisieren, kolonisiere, kolonisiert, kolonisierte, kolonisierte, kolonisiere, kolonisiert, haben, kolonisiert
kolorieren, koloriere, koloriert, kolorierte, kolorierte, koloriere, koloriert, haben, koloriert
kolportieren, kolportiere, kolportiert, kolportierte, kolportierte, kolportiere, kolportiert, haben, kolportiert
kombinieren, kombiniere, kombiniert, kombinierte, kombinierte, kombinier, kombiniert, haben, kombiniert
kommandieren, kommandiere, kommandiert, kommandierte, kommandierte, kommandiere, kommandiert, haben, kommandiert
kommen, komme, kommt, kam, käme, komm, kommt, sein, gekommen
kommentieren, kommentiere, kommentiert, kommentierte, kommentierte, kommentiere, kommentiert, haben, kommentiert
kommerzialisieren, kommerzialisiere, kommerzialisiert, kommerzialisierte, kommerzialisierte, kommerzialisiere, kommerzialisiert, haben, kommerzialisiert
kommissionieren, kommissioniere, kommissioniert, kommissionierte, kommissionierte, kommissioniere, kommissioniert, haben, kommissioniert
kommunizieren, kommuniziere, kommuniziert, kommunizierte, kommunizierte, kommuniziere, kommuniziert, haben, kommuniziert
komparieren, kompariere, kompariert, komparierte, komparierte, komparier, kompariert, haben, kompariert
kompensieren, kompensiere, kompensiert, kompensierte, kompensierte, kompensiere, kompensiert, haben, kompensiert
kompilieren, kompiliere, kompiliert, kompilierte, kompilierte, kompiliere, kompiliert, haben, kompiliert
komplettieren, komplettiere, komplettiert, komplettierte, komplettierte, komplettier, komplettiert, haben, komplettiert
komplimentieren, komplimentiere, komplimentiert, komplimentierte, komplimentierte, komplimentiere, komplimentiert, haben, komplimentiert
komplizieren, kompliziere, kompliziert, komplizierte, komplizierte, kompliziere, kompliziert, haben, kompliziert
komponieren, komponiere, komponiert, komponierte, komponierte, komponiere, komponiert, haben, komponiert
kompostieren, kompostiere, kompostiert, kompostierte, kompostierte, kompostier, kompostiert, haben, kompostiert
komprimieren, komprimiere, komprimiert, komprimierte, komprimierte, komprimiere, komprimiert, haben, komprimiert
kompromittieren, kompromittiere, kompromittiert, kompromittierte, kompromittierte, kompromittier, kompromittiert, haben, kompromittiert
kondensieren, kondensiere, kondensiert, kondensierte, kondensierte, kondensier, kondensiert, haben, kondensiert
kondizieren, kondiziere, kondiziert, kondizierte, kondizierte, kondiziere, kondiziert, haben, kondiziert
kondolieren, kondoliere, kondoliert, kondolierte, kondolierte, kondoliere, kondoliert, haben, kondoliert
konfabulieren, konfabuliere, konfabuliert, konfabulierte, konfabulierte, konfabulier, konfabuliert, haben, konfabuliert
konfektionieren, konfektioniere, konfektioniert, konfektionierte, konfektionierte, konfektioniere, konfektioniert, haben, konfektioniert
konferieren, konferiere, konferiert, konferierte, konferierte, konferiere, konferiert, haben, konferiert
konfigurieren, konfiguriere, konfiguriert, konfigurierte, konfigurierte, konfiguriere, konfiguriert, haben, konfiguriert
konfiszieren, konfisziere, konfisziert, konfiszierte, konfiszierte, konfiszier, konfisziert, haben, konfisziert
konfligieren, konfligiere, konfligiert, konfligierte, konfligierte, konfligier, konfligiert, haben, konfligiert
konfluieren, —, konfluiert, konfluierte, konfluierte, —, —, sein, konfluiert
konfrontieren, konfrontiere, konfrontiert, konfrontierte, konfrontierte, konfrontiere, konfrontiert, haben, konfrontiert
konfundieren, konfundiere, konfundiert, konfundierte, konfundierte, konfundier, konfundiert, haben, konfundiert
konjugieren, konjugiere, konjugiert, konjugierte, konjugierte, konjugiere, konjugiert, haben, konjugiert
konkatenieren, konkateniere, konkateniert, konkatenierte, konkatenierte, konkatenier, konkateniert, haben, konkateniert
konkludieren, konkludiere, konkludiert, konkludierte, konkludierte, konkludiere, konkludiert, haben, konkludiert
